cluster,n,lat,lon,date,region,top_culture,dom_Y,dom_mt
109,8,53.1889,103.38145,5577.0,East Asia,Russia_Irkutsk_N,n/(6); N(1); Q1(1),R(3); A(3); D(2)
110,10,39.6525,33.7881,2126.0,Europe,Turkey_Ancient,n/(7); J2(2); G(1),H(3); U(2); J(1)
111,44,41.5014,75.15775,1636.5,Central Asia / Steppe,Kyrgyzstan_TianShan_Kenkol,n/(15); R1(10); Q1(9),H(8); U(7); C(5)
112,13,42.806,75.243,675.0,Central Asia / Steppe,Kyrgyzstan_Medieval_BlackDeath,n/(9); C2(1); L1(1),n(4); C(2); G(1)
113,35,49.1231,75.36,2575.0,Central Asia / Steppe,Kazakhstan_EIA_Tasmola,n/(15); R1(15); Q1(2),H(10); U(6); C(4)
114,125,43.6,82.51,2248.0,Central Asia / Steppe,Kyrgyzstan_TianShan_Saka,R1(44); n/(44); Q1(8),U(23); C(19); H(15)
115,12,50.1351,36.891,1103.5,Europe,Ukraine_EarlyMedieval,R1(4); n/(4); P1(1),U(2); A(2); W(2)
116,12,54.6758,90.8536,2850.0,Other,Russia_Tagar,R1(4); n/(4); N(3),F(3); N(2); U(2)
117,62,48.59295,102.3612,2000.0,East Asia,Russia_Buryatia_XiongnuPeriod,n/(28); R1(13); Q1(7),D(12); C(9); G(6)
118,9,31.988,35.976,9591.0,Near East / SW Asia,Jordan_PPNB,E1(3); F(2); n/(2),T(3); n(2); R(1)
119,8,35.24,128.88,1550.0,East Asia,RepublicofKorea_ThreeKingdoms,n/(5); D1(1); O1(1),D(5); B(1); M(1)
120,9,33.5606,35.3981,800.0,Near East / SW Asia,Lebanon_Medieval,R1(5); E1(1); T1(1),H(4); J(3); U(1)
121,29,33.0484,35.1028,2600.0,Near East / SW Asia,Israel_Phoenician,n/(15); J1(6); E1(4),I(3); R(3); U(2)
122,13,45.32,28.412,2808.0,Europe,Ukraine_IA_Hallstatt_Thracian,n/(8); R1(2); Q1(1),T(4); U(3); H(2)
123,60,47.8614,106.16024999999999,700.0,East Asia,Mongolia_Sukhbaatar_LateMedieval,n/(24); C2(15); N1(5),D(16); F(8); G(6)
124,19,47.1108,102.0788,1075.0,East Asia,Mongolia_Arkhangai_EarlyMedieval,n/(8); R1(5); C2(3),D(6); H(3); T(2)
125,8,46.77,111.6,3311.5,East Asia,Mongolia_Sukhbaatar_MLBA,Q1(4); n/(4),D(4); C(2); M(1)
126,8,50.2335,75.1378,2238.0,Central Asia / Steppe,Kazakhstan_EIA,Q1(4); n/(2); F(1),D(3); C(1); U(1)
127,19,49.3356,86.3504,1650.0,Central Asia / Steppe,Kazakhstan_Berel_Hunnic,n/(15); Q1(3); R1(1),A(2); U(1); C(1)
128,11,28.33,56.87,5100.0,Near East / SW Asia,Iran_ShahTepe_BA,n/(6); J1(2); T1(2),H(4); U(2); I(1)
129,10,48.2856,86.2708,4628.5,Central Asia / Steppe,China_Xinjiang_Ayituohan_BA_Afanasievo,n/(5); Q2(3); R1(1),U(5); T(2); H(1)
130,8,46.48,90.75,4225.0,Other,China_Xinjiang_ChaganguoleChagangole_BA_Chemurcheck,R1(3); n/(3); Q(1),C(2); U(2); D(1)
131,8,48.06,86.42,4200.0,Central Asia / Steppe,China_Xinjiang_Tuoganbai_BA,n/(3); P1(2); R1(2),R(3); H(3); T(1)
132,12,43.6097,93.1667,2247.0,East Asia,China_NorthwestXinjiang_Shirenzigou_IA,n/(5); O2(2); R1(2),U(4); R(1); A(1)
133,13,38.27,85.33,2175.0,Other,China_Xinjiang_ZhagunlukeZaghunluq_IA,R1(6); n/(4); R(2),H(3); T(3); N(2)
134,12,37.77,75.22,2500.0,Other,China_Xinjiang_JierzankaleJirzankal_IA,Q1(5); n/(5); R1(1),D(3); C(3); H(2)
135,11,36.97,79.94,1650.0,South Asia,China_Xinjiang_Hetian_Antiquity,O2(6); CT(3); n/(2),U(3); M(1); H(1)
136,10,69.2239,33.4828,3725.0,Europe,Russia_BolshoyOleniyOstrov_MBA,n/(9); N1(1),U(2); Z(1); T(1)
137,10,62.9487,22.4101,1400.0,Europe,Finland_Levanluhta,n/(8),K(3); U(2); H(1)
138,10,28.9,83.83,2650.0,South Asia,Nepal_IA,n/(5); O2(4); C2(1),F(3); A(2); M(1)
139,16,28.86,83.92,2275.0,South Asia,Nepal_LIA_EMiddleKingdoms,n/(10); O2(6),M(8); F(5); A(1)
140,10,29.28,84.03,1275.0,South Asia,Nepal_Mustang_SamdzongTomb_MiddleKingdom,O2(5); n/(4); O(1),M(3); F(2); D(1)
141,43,65.61,-17.16,1000.0,Europe,Iceland_Viking,n/(14); R1(13); I1(4),H(19); U(6); J(6)
142,16,61.085,-45.55,900.0,Americas,Greenland_EarlyNorse,n/(7); I1(4); R1(2),J(5); H(4); T(3)
143,35,58.78,32.3,900.0,Europe,Russia_Viking,I1(8); n/(8); R1(8),n(12); H(7); J(4)
144,11,54.78,31.87,950.0,Europe,Russia_EarlyMedieval_Viking_OldRus,n/(7); R1(2); I1(1),H(6); U(3); V(1)
145,16,61.85,-6.8,350.0,Europe,FaroeIslands_EarlyModern,R1(12); n/(3); I1(1),H(14); J(1); U(1)
146,36,19.6,98.25,1625.0,East Asia,Thailand_IA_LogCoffin,n/(18); O1(6); N1(5),F(13); M(10); G(4)
147,41,59.4308,24.9011,2633.0,Europe,Estonia_LBA_StoneCistGraves,R1(20); n/(8); CT(2),U(6); H(6); T(4)
148,14,14.091,-60.926,673.5,Americas,SaintLucia_Ceramic,Q1(7); n/(7),C(6); A(3); B(3)
149,24,23.038,-81.497,1316.0,Americas,Cuba_PreCeramic,n/(9); Q1(6); A1(1),D(8); C(7); A(1)
150,12,23.038,-81.497,2000.0,Americas,Cuba_PreCeramic,Q1(8); n/(3); CT(1),A(3); D(2); n(2)
151,37,24.9079,-76.6952,750.0,Americas,Bahamas_Eleuthera_Ceramic,n/(20); Q1(15); IJ(1),C(15); B(12); A(4)
152,8,20.554,-76.9858,1888.5,Americas,Cuba_PreCeramic,n/(4); Q1(4),C(6); D(1); A(1)
153,33,33.986,113.31,3981.0,East Asia,Henan_Wadian,n/(12); O2(9); K(1),D(6); F(1)
154,18,35.3,100.4,4600.0,East Asia,China_Qinghai_Zongri,N1(6); O2(4); n/(3),G(7); n(7); D(2)
155,34,32.6917,112.1347,6950.0,East Asia,China_Baligang_LN_Yangshao,O2(5),D(1)
156,9,56.5115,40.2108,1661.0,Europe,Russia_Roman_RyazanOka,n/(9),n(4); H(3); U(1)
157,11,50.6639,11.5681,45875.0,Europe,Germany_Ranis_IUP,n/(9),N(1)
158,20,34.0036,-119.7264,1473.5,Americas,USA_1500BP,n/(12); Q1(8),D(12); A(4); C(4)
159,18,33.2452,-119.4996,4875.0,Americas,USA_4800BP,Q1(8); n/(5); P1(1),A(13); n(2); D(2)
160,8,66.1214,-170.4603,2007.5,Other,Russia_Chukotka_Antiquity_OldBeringSea,Q1(7); F(1),A(6); D(2)
161,21,39.84,-0.3774,854.0,Europe,Spain_Medieval_Islamic,n/(9); E1(5); J2(2),H(14); U(5); I(1)
162,9,35.2395,24.9883,7925.0,North Africa,Greece_Crete_Aposelemis_N,n/(5); G2(4),K(1)
163,8,44.03725,43.30745,6168.5,Europe,Russia_Eneolithic_Caucasus,R1(4); n/(3),H(2); T(2); U(2)
164,15,24.05,107.51,1426.0,East Asia,China_Guangxi_BalongCave_NorthernAndSouthernDynasties,n/(6); O1(5); C(2),M(7); R(2); D(2)
165,16,25.11,107.66,419.0,East Asia,China_Guangxi_HuatuyanCave_MingDynasty,n/(8); O2(3); C1(3),n(6); D(2); M(2)
166,10,33.5,95.4,2811.0,East Asia,China_Qinghai_Pukagongma,n/(4); D1(3); O2(2),n(8); D(1)
167,20,29.7,89.1,900.0,South Asia,China_Tibet_Longsangquduo,n/(8); O2(5); D1(3),n(8); M(6); D(3)
168,31,32.3917,80.0328,2150.0,South Asia,China_Tibet_Sangdalongguo_IA,n/(12); N1(8); O2(4),M(9); n(6); D(4)
169,119,37.6661,32.8257,8500.0,Europe,Turkey_Catalhoyuk_MN,C1(13); J2(10); n/(9),K(8); N(3); T(2)
170,12,26.2,119.1,4486.0,East Asia,China_Fujian_Xitoucun_LN,n/(2); O1(1),
171,11,40.3364,88.6725,3900.0,Central Asia / Steppe,China_Xinjiang_Xiaohe_BA,n/(9); R1(2),C(10); R(1)
172,10,36.2215,98.167,1226.0,East Asia,China_Qinghai_DulanWayanReservoirSite_Classical,n/(6); O2(2); N1(1),D(4); M(2); C(2)
173,9,25.8125,-105.7917,1150.0,Americas,Mexico_1100BP,n/(5); Q1(4),B(5); A(2); C(2)
174,9,52.02,5.124,6750.0,Europe,Netherlands_EN_LateMesolithic_Swifterbant,n/(6); I2(3),U(4); K(3); H(2)
175,29,38.103,67.275,2000.0,Other,Uzbekistan_Antiquity,n/(12); R1(4); P1(1),U(9); H(6); J(2)
176,7,-54.6,-65.58,420.0,Americas,Argentina_TierradelFuego_400BP_Haush,Q1(6); n/(1),D(6); C(1)
177,12,50.0914,39.8945,7450.0,Europe,Russia_Voronezh_N,R1(6); K(3); I2(2),U(11); T(1)
178,137,-30.77,-63.39,584.0,Americas,Argentina_SantiagodelEstero_400BP,Q1(74); n/(48); F(2),C(48); B(24); A(24)
179,9,-30.89,-62.94,2500.0,Americas,Argentina_Cordoba_2500BP,Q1(4); n/(3); K(1),C(7); A(2)
180,11,-26.03,-67.34,1150.0,Americas,Argentina_Catamarca_1200BP,Q1(3); n/(3); Q(1),C(4); A(2); D(2)
181,44,50.9789,11.0274,625.0,Europe,Germany_Medieval_Jewish-lowEastEU,n/(29); R1(4); J2(3),K(17); H(10); U(7)
182,8,-2.0695,35.879,2234.5,Africa,Kenya_PastoralN,n/(3); A1(2); E1(2),L(6); M(1); R(1)
183,11,36.87,37.54,750.0,Europe,Turkey_Medieval_Byzantine,n/(5); G2(3); J2(2),H(3); T(2); N(2)
184,17,41.73,26.33,2750.0,Europe,Bulgaria_KapitanAndreevo_EIA,n/(8); E1(8); R1(1),H(10); U(3); K(2)
185,9,40.6267,8.3231,5671.0,Europe,Italy_Sardinia_N,G(2); n/(2); H2(2),R(2); U(2); n(1)
186,27,13.52,144.8066,2623.0,SE Asia / Oceania,Guam_LateUnai,n/(17); O2(5); F(1),E(14); n(9); B(2)
187,8,10.03,-69.64,2242.5,Americas,Venezuela_Ceramic,Q1(6); n/(2),B(8)
188,25,44.852,15.4199,3100.0,Europe,Croatia_MLBA,n/(16); R1(7),H(9); U(7); T(5)
189,8,57.5288,72.5261,950.0,Siberia / North Asia,Russia_Omsk_HanMan,Q1(4); n/(3); N1(1),F(2); U(1); J(1)
190,18,55.995,54.0268,1537.0,Central Asia / Steppe,Russia_Boyasky_IA_Mazunino,N1(8); R1(3); A1(3),U(7); H(1); Z(1)
191,10,-22.92,-66.06,711.0,Americas,Argentina_Jujuy_700BP,n/(6); Q1(2),A(2); B(2); D(2)
192,25,37.34,28.04,475.0,Europe,Turkey_OttomanPeriod_ArabGraves,n/(11); J2(4); R1(3),H(9); U(3); J(3)
193,8,-9.0619,39.5499,440.0,Africa,Tanzania_Swahili,E1(4); n/(2); J2(1),L(7)
194,12,37.34,28.04,2550.0,Europe,Turkey_Ancient,n/(7); G2(4); J1(1),H(3); I(2); U(2)
195,38,12.5094,54.4314,952.5,Near East / SW Asia,Yemen_Medieval_Soqotri,n/(20); J2(15); IJ(1),R(10); J(10); I(7)
196,124,13.52,144.8066,520.5,SE Asia / Oceania,Guam_Latte,O2(57); n/(54); S(3),E(123); B(1)
197,24,59.327,-3.0057,3425.0,Europe,Scotland_MBA,n/(13); I2(9); R1(1),H(9); T(7); K(3)
198,84,56.47,10.1,550.0,Europe,Denmark_Medieval,n/(32); R1(23); I1(17),H(29); U(13); T(10)
199,8,20.8583,-100.9288,1225.0,Americas,Mexico_Medieval,n/(4); Q1(2); F(1),D(4); B(2); A(2)
200,14,7.3518,134.4989,1492.0,SE Asia / Oceania,Palau_KororQuarry_1500BP,n/(5); S(2); S1(2),B(7); E(2); P(2)
201,8,48.2206,35.4035,10358.0,Europe,Ukraine_Mesolithic,I2(3); R1(2); n/(1),n(3); U(2); H(1)
202,8,34.9948,46.371300000000005,9398.5,Near East / SW Asia,Iraq_PPN,n/(4); G2(1); J(1),n(3); J(1); H(1)
203,20,-15.9197,-5.7122,60.0,Africa,SaintHelena,E1(16); n/(3); B2(1),L(20)
204,10,44.8929,6.617,321.0,Europe,France_FrenchAlps,n/(6); R1(2); CT(1),n(8); H(1); T(1)
205,89,20.6831,-88.5686,1075.0,Americas,Mexico_LateClassic,Q1(61); F(6); Q(6),A(51); C(8); B(7)
206,9,44.2753,40.3254,3525.0,Europe,Russia_Adygea_MLBA,J2(3); n/(2); G2(2),U(4); I(1); T(1)
207,27,25.71,101.91,2875.0,East Asia,China_BA_Roman,O1(6); O2(5); n/(2),
208,15,47.4328,34.2726,600.0,Europe,Ukraine_LateMedieval_Nogai,n/(7); R1(3); C2(1),U(4); M(3); J(2)
209,20,36.786,117.821,4300.0,East Asia,China_Shandong_Dinggong_LN,n/(16); N1(2); C2(1),
210,9,4.7333,-74.2828,2000.0,Americas,Colombia_LagunadeLaHerrera_Formative,n/(6); Q1(3),
211,30,36.36,120.44,5300.0,East Asia,China_Qingdao_BeiQian_Dawenkou,n/(28),
212,26,36.835,117.88,2500.0,East Asia,China_Jinan_LiuJiaZhuang_Shang,n/(25),
213,14,34.87,113.35,3098.0,East Asia,China_Henan_Xisima_LShang,n/(3); O2(2); N(2),
214,21,31.5856,80.0958,2550.0,South Asia,China_Tibet_Gebusailu_IA,D1(11); n/(6); N1(1),Z(5); A(4); G(3)
215,8,56.238,10.79165,2900.0,Europe,Denmark_AalstrupMellergaard_EIA,N1(1); I2(1); R1(1),
216,13,63.8604,11.307,3416.0,Europe,Norway_Sund_EBA,R1(8); P1(1),
217,34,-9.24,147.03,415.0,SE Asia / Oceania,PapuaNewGuinea_Nebira_LateMedieval,,
218,44,38.665,-8.02,750.0,Europe,Portugal_KingdomOfPortugal,R1(12); E1(4); J2(4),H(2)
219,11,40.176,-8.683,200.0,Europe,Portugal_KingdomOfPortugal,E1(2); J1(1); R1(1),
220,28,25.84,100.59,3300.0,East Asia,China_MLBA,O2(6); O(2); N1(2),
221,49,24.7,103.0,1700.0,East Asia,China_Roman_LateAntiquity,O1(14); O2(3); N1(3),
222,31,27.27,100.25,2300.0,East Asia,China_IA_Hellenistic,O2(8); D1(4); C2(2),
223,9,32.6917,112.1347,5884.0,East Asia,China_Baligang_N_Yangshao,O2(7); n/(1),F(1)
224,34,40.163,114.49,4559.0,East Asia,China_LN_Xiaoheyan,N1(11); N(4); C2(2),
225,12,41.2942,114.2297,7550.0,East Asia,China_Sitaimengguying_EN,N(3); F(1); CT(1),
